更新时间,#genre#
2024-10-16 21:45:48,url
央视频道,#genre#
CCTV4美洲,http://220.176.218.6:8888/rtp/239.252.219.193:5140$1920x1080
CCTV4美洲,http://106.116.3.207:8890/rtp/239.254.201.206:4220$1920x1080
CCTV4美洲,http://61.55.46.35:4022/rtp/239.253.93.193:6371$1920x1080
CCTV4美洲,http://124.230.56.93:55555/rtp/239.76.253.96:9000$1920x1080
CCTV4美洲,http://122.9.151.210:887/rtp/238.255.2.214:5999
CCTV4美洲,http://42.58.244.214:9012/rtp/232.0.0.59:1234$1920x1080
CCTV4K,http://61.55.46.35:4022/rtp/239.253.93.134:6631$1920x1080
CCTV5,http://180.158.164.233:8888/rtp/239.45.1.69:5140$1920x1080
CCTV5,http://114.246.181.137:8888/rtp/239.3.1.173:8001$1920x1080
CCTV5,http://222.129.138.100:4088/rtp/239.3.1.173:8001$1920x1080
CCTV5,http://114.243.97.208:8822/rtp/239.3.1.173:8001$1920x1080
CCTV5,http://171.213.198.43:6666/rtp/239.93.42.37:5140$1920x1080
CCTV5,http://171.213.200.219:8888/rtp/239.93.42.37:5140
CCTV5,http://171.213.198.225:4000/rtp/239.93.42.37:5140$1920x1080
CCTV5,http://125.71.159.29:6666/rtp/239.93.42.37:5140$1920x1080
CCTV5,http://111.165.215.158:50000/rtp/225.1.1.160:5002$1920x1080
CCTV5,http://183.164.62.149:5000/rtp/238.1.78.171:7240$1920x1080
CCTV5,http://117.67.171.13:4022/rtp/238.1.78.171:7240$1920x1080
CCTV5,http://114.98.161.147:2000/rtp/238.1.78.171:7240$1920x1080
CCTV5,http://61.190.129.195:8688/rtp/238.1.78.171:7240$1920x1080
CCTV5,http://183.164.53.181:4022/rtp/238.1.78.171:7240$1920x1080
CCTV5,http://124.112.202.94:18888/rtp/238.1.78.171:7240$1920x1080
CCTV5+,http://114.246.181.137:8888/rtp/239.3.1.130:8004$1920x1080
CCTV5+,http://222.129.138.100:4088/rtp/239.3.1.130:8004$1920x1080
CCTV5+,http://114.243.97.208:8822/rtp/239.3.1.130:8004$1920x1080
CCTV5+,http://171.213.198.43:6666/rtp/239.93.1.36:8004$1920x1080
